Timestamp, Namespace, Total CPU(mCPU), Total Memory(MiB)
2025-03-11 10:07:14,nginx,1,9
2025-03-11 10:07:14,istio-system,6,95
2025-03-11 10:07:14,istio-tenant-gateway,4,39
2025-03-11 10:07:19,nginx,1,9
2025-03-11 10:07:19,istio-system,6,95
2025-03-11 10:07:19,istio-tenant-gateway,4,39
2025-03-11 10:07:24,nginx,2,9
2025-03-11 10:07:24,istio-system,5,95
2025-03-11 10:07:24,istio-tenant-gateway,8,40
2025-03-11 10:07:29,nginx,2,9
2025-03-11 10:07:29,istio-system,5,95
2025-03-11 10:07:29,istio-tenant-gateway,8,40
2025-03-11 10:07:34,nginx,2,9
2025-03-11 10:07:34,istio-system,5,95
2025-03-11 10:07:34,istio-tenant-gateway,8,40
2025-03-11 10:07:40,nginx,6,9
2025-03-11 10:07:40,istio-system,10,96
2025-03-11 10:07:40,istio-tenant-gateway,28,40
2025-03-11 10:07:45,nginx,6,9
2025-03-11 10:07:45,istio-system,10,96
2025-03-11 10:07:45,istio-tenant-gateway,28,40
2025-03-11 10:07:50,nginx,6,9
2025-03-11 10:07:50,istio-system,13,70
2025-03-11 10:07:50,istio-tenant-gateway,28,40
2025-03-11 10:07:55,nginx,6,9
2025-03-11 10:07:55,istio-system,13,70
2025-03-11 10:07:55,istio-tenant-gateway,28,40
2025-03-11 10:08:00,nginx,6,9
2025-03-11 10:08:00,istio-system,13,70
2025-03-11 10:08:00,istio-tenant-gateway,28,40
2025-03-11 10:08:05,nginx,5,9
2025-03-11 10:08:05,istio-system,13,70
2025-03-11 10:08:05,istio-tenant-gateway,25,33
2025-03-11 10:08:11,nginx,5,9
2025-03-11 10:08:11,istio-system,13,70
2025-03-11 10:08:11,istio-tenant-gateway,25,33
2025-03-11 10:08:16,nginx,5,9
2025-03-11 10:08:16,istio-system,13,70
2025-03-11 10:08:16,istio-tenant-gateway,25,33
2025-03-11 10:08:21,nginx,7,9
2025-03-11 10:08:21,istio-system,11,70
2025-03-11 10:08:21,istio-tenant-gateway,24,32
2025-03-11 10:08:26,nginx,7,9
2025-03-11 10:08:26,istio-system,11,70
2025-03-11 10:08:26,istio-tenant-gateway,24,32
2025-03-11 10:08:31,nginx,7,9
2025-03-11 10:08:31,istio-system,11,70
2025-03-11 10:08:31,istio-tenant-gateway,24,32
2025-03-11 10:08:36,nginx,6,9
2025-03-11 10:08:36,istio-system,12,70
2025-03-11 10:08:36,istio-tenant-gateway,24,33
2025-03-11 10:08:42,nginx,6,9
2025-03-11 10:08:42,istio-system,12,70
2025-03-11 10:08:42,istio-tenant-gateway,24,33
2025-03-11 10:08:47,nginx,6,9
2025-03-11 10:08:47,istio-system,12,70
2025-03-11 10:08:47,istio-tenant-gateway,24,33
2025-03-11 10:08:52,nginx,6,9
2025-03-11 10:08:52,istio-system,11,70
2025-03-11 10:08:52,istio-tenant-gateway,24,33
2025-03-11 10:08:57,nginx,6,9
2025-03-11 10:08:57,istio-system,11,70
2025-03-11 10:08:57,istio-tenant-gateway,24,33
2025-03-11 10:09:02,nginx,6,9
2025-03-11 10:09:02,istio-system,11,70
2025-03-11 10:09:02,istio-tenant-gateway,24,33
2025-03-11 10:09:07,nginx,6,9
2025-03-11 10:09:07,istio-system,9,69
2025-03-11 10:09:07,istio-tenant-gateway,24,33
2025-03-11 10:09:12,nginx,6,9
2025-03-11 10:09:12,istio-system,9,69
2025-03-11 10:09:12,istio-tenant-gateway,24,33
2025-03-11 10:09:18,nginx,6,9
2025-03-11 10:09:18,istio-system,9,69
2025-03-11 10:09:18,istio-tenant-gateway,24,33
2025-03-11 10:09:23,nginx,5,9
2025-03-11 10:09:23,istio-system,9,69
2025-03-11 10:09:23,istio-tenant-gateway,26,33
2025-03-11 10:09:28,nginx,5,9
2025-03-11 10:09:28,istio-system,9,69
2025-03-11 10:09:28,istio-tenant-gateway,26,33
2025-03-11 10:09:33,nginx,5,9
2025-03-11 10:09:33,istio-system,9,69
2025-03-11 10:09:33,istio-tenant-gateway,26,33
2025-03-11 10:09:38,nginx,5,9
2025-03-11 10:09:38,istio-system,11,69
2025-03-11 10:09:38,istio-tenant-gateway,23,33
2025-03-11 10:09:43,nginx,5,9
2025-03-11 10:09:43,istio-system,11,69
2025-03-11 10:09:43,istio-tenant-gateway,23,33
2025-03-11 10:09:49,nginx,5,9
2025-03-11 10:09:49,istio-system,11,69
2025-03-11 10:09:49,istio-tenant-gateway,23,33
2025-03-11 10:09:54,nginx,6,9
2025-03-11 10:09:54,istio-system,13,69
2025-03-11 10:09:54,istio-tenant-gateway,28,32
2025-03-11 10:09:59,nginx,6,9
2025-03-11 10:09:59,istio-system,13,69
2025-03-11 10:09:59,istio-tenant-gateway,28,32
2025-03-11 10:10:04,nginx,6,9
2025-03-11 10:10:04,istio-system,13,69
2025-03-11 10:10:04,istio-tenant-gateway,28,32
2025-03-11 10:10:09,nginx,7,9
2025-03-11 10:10:09,istio-system,12,69
2025-03-11 10:10:09,istio-tenant-gateway,27,32
2025-03-11 10:10:14,nginx,7,9
2025-03-11 10:10:14,istio-system,12,69
2025-03-11 10:10:14,istio-tenant-gateway,27,32
2025-03-11 10:10:20,nginx,7,9
2025-03-11 10:10:20,istio-system,12,69
2025-03-11 10:10:20,istio-tenant-gateway,27,32
2025-03-11 10:10:25,nginx,7,9
2025-03-11 10:10:25,istio-system,10,69
2025-03-11 10:10:25,istio-tenant-gateway,25,33
2025-03-11 10:10:30,nginx,7,9
2025-03-11 10:10:30,istio-system,10,69
2025-03-11 10:10:30,istio-tenant-gateway,25,33
2025-03-11 10:10:35,nginx,6,9
2025-03-11 10:10:35,istio-system,11,69
2025-03-11 10:10:35,istio-tenant-gateway,26,32
2025-03-11 10:10:40,nginx,6,9
2025-03-11 10:10:40,istio-system,11,69
2025-03-11 10:10:40,istio-tenant-gateway,26,32
2025-03-11 10:10:45,nginx,6,9
2025-03-11 10:10:45,istio-system,11,69
2025-03-11 10:10:45,istio-tenant-gateway,26,32
2025-03-11 10:10:51,nginx,13,9
2025-03-11 10:10:51,istio-system,14,69
2025-03-11 10:10:51,istio-tenant-gateway,26,32
2025-03-11 10:10:56,nginx,13,9
2025-03-11 10:10:56,istio-system,14,69
2025-03-11 10:10:56,istio-tenant-gateway,26,32
2025-03-11 10:11:01,nginx,13,9
2025-03-11 10:11:01,istio-system,14,69
2025-03-11 10:11:01,istio-tenant-gateway,26,32
2025-03-11 10:11:06,nginx,6,9
2025-03-11 10:11:06,istio-system,11,69
2025-03-11 10:11:06,istio-tenant-gateway,26,32
2025-03-11 10:11:11,nginx,6,9
2025-03-11 10:11:11,istio-system,11,69
2025-03-11 10:11:11,istio-tenant-gateway,26,32
2025-03-11 10:11:16,nginx,6,9
2025-03-11 10:11:16,istio-system,11,69
2025-03-11 10:11:16,istio-tenant-gateway,26,32
2025-03-11 10:11:22,nginx,6,9
2025-03-11 10:11:22,istio-system,10,69
2025-03-11 10:11:22,istio-tenant-gateway,26,33
2025-03-11 10:11:27,nginx,6,9
2025-03-11 10:11:27,istio-system,10,69
2025-03-11 10:11:27,istio-tenant-gateway,26,33
2025-03-11 10:11:32,nginx,6,9
2025-03-11 10:11:32,istio-system,10,69
2025-03-11 10:11:32,istio-tenant-gateway,26,33
2025-03-11 10:11:37,nginx,6,10
2025-03-11 10:11:37,istio-system,11,69
2025-03-11 10:11:37,istio-tenant-gateway,27,33
2025-03-11 10:11:42,nginx,6,10
2025-03-11 10:11:42,istio-system,11,69
2025-03-11 10:11:42,istio-tenant-gateway,27,33
2025-03-11 10:11:47,nginx,6,10
2025-03-11 10:11:47,istio-system,11,69
2025-03-11 10:11:47,istio-tenant-gateway,27,33
2025-03-11 10:11:52,nginx,5,10
2025-03-11 10:11:52,istio-system,12,69
2025-03-11 10:11:52,istio-tenant-gateway,24,32
2025-03-11 10:11:58,nginx,5,10
2025-03-11 10:11:58,istio-system,12,69
2025-03-11 10:11:58,istio-tenant-gateway,24,32
2025-03-11 10:12:03,nginx,5,10
2025-03-11 10:12:03,istio-system,12,69
2025-03-11 10:12:03,istio-tenant-gateway,24,32
2025-03-11 10:12:08,nginx,5,10
2025-03-11 10:12:08,istio-system,12,69
2025-03-11 10:12:08,istio-tenant-gateway,25,32
2025-03-11 10:12:13,nginx,5,10
2025-03-11 10:12:13,istio-system,12,69
2025-03-11 10:12:13,istio-tenant-gateway,25,32
