Timestamp, Namespace, Total CPU(mCPU), Total Memory(MiB)
2025-03-10 20:58:24,nginx,90,811
2025-03-10 20:58:24,istio-system,8,131
2025-03-10 20:58:24,istio-tenant-gateway,7,43
2025-03-10 20:58:29,nginx,90,811
2025-03-10 20:58:29,istio-system,6,131
2025-03-10 20:58:29,istio-tenant-gateway,6,43
2025-03-10 20:58:35,nginx,90,811
2025-03-10 20:58:35,istio-system,6,131
2025-03-10 20:58:35,istio-tenant-gateway,6,43
2025-03-10 20:58:40,nginx,90,811
2025-03-10 20:58:40,istio-system,6,131
2025-03-10 20:58:40,istio-tenant-gateway,6,43
2025-03-10 20:58:45,nginx,90,811
2025-03-10 20:58:45,istio-system,23,131
2025-03-10 20:58:45,istio-tenant-gateway,22,44
2025-03-10 20:58:50,nginx,90,811
2025-03-10 20:58:50,istio-system,23,131
2025-03-10 20:58:50,istio-tenant-gateway,22,44
2025-03-10 20:58:55,nginx,90,811
2025-03-10 20:58:55,istio-system,23,131
2025-03-10 20:58:55,istio-tenant-gateway,22,44
2025-03-10 20:59:00,nginx,90,811
2025-03-10 20:59:00,istio-system,14,131
2025-03-10 20:59:00,istio-tenant-gateway,24,45
2025-03-10 20:59:05,nginx,90,811
2025-03-10 20:59:05,istio-system,14,131
2025-03-10 20:59:05,istio-tenant-gateway,24,45
2025-03-10 20:59:11,nginx,90,811
2025-03-10 20:59:11,istio-system,14,131
2025-03-10 20:59:11,istio-tenant-gateway,24,45
2025-03-10 20:59:16,nginx,90,811
2025-03-10 20:59:16,istio-system,14,127
2025-03-10 20:59:16,istio-tenant-gateway,24,45
2025-03-10 20:59:21,nginx,90,811
2025-03-10 20:59:21,istio-system,14,127
2025-03-10 20:59:21,istio-tenant-gateway,24,45
2025-03-10 20:59:26,nginx,90,811
2025-03-10 20:59:26,istio-system,13,127
2025-03-10 20:59:26,istio-tenant-gateway,26,45
2025-03-10 20:59:31,nginx,90,811
2025-03-10 20:59:31,istio-system,13,127
2025-03-10 20:59:31,istio-tenant-gateway,26,45
2025-03-10 20:59:36,nginx,90,811
2025-03-10 20:59:36,istio-system,13,127
2025-03-10 20:59:36,istio-tenant-gateway,26,45
2025-03-10 20:59:41,nginx,90,811
2025-03-10 20:59:41,istio-system,13,127
2025-03-10 20:59:41,istio-tenant-gateway,27,45
2025-03-10 20:59:47,nginx,90,811
2025-03-10 20:59:47,istio-system,13,127
2025-03-10 20:59:47,istio-tenant-gateway,27,45
2025-03-10 20:59:52,nginx,90,811
2025-03-10 20:59:52,istio-system,13,127
2025-03-10 20:59:52,istio-tenant-gateway,27,45
2025-03-10 20:59:57,nginx,90,811
2025-03-10 20:59:57,istio-system,13,127
2025-03-10 20:59:57,istio-tenant-gateway,26,45
2025-03-10 21:00:02,nginx,90,811
2025-03-10 21:00:02,istio-system,13,127
2025-03-10 21:00:02,istio-tenant-gateway,26,45
2025-03-10 21:00:07,nginx,90,811
2025-03-10 21:00:07,istio-system,13,127
2025-03-10 21:00:07,istio-tenant-gateway,26,45
2025-03-10 21:00:12,nginx,90,811
2025-03-10 21:00:12,istio-system,14,127
2025-03-10 21:00:12,istio-tenant-gateway,26,45
2025-03-10 21:00:17,nginx,90,811
2025-03-10 21:00:17,istio-system,14,127
2025-03-10 21:00:17,istio-tenant-gateway,26,45
2025-03-10 21:00:23,nginx,90,811
2025-03-10 21:00:23,istio-system,14,127
2025-03-10 21:00:23,istio-tenant-gateway,26,45
2025-03-10 21:00:28,nginx,90,811
2025-03-10 21:00:28,istio-system,13,127
