Timestamp, Namespace, Total CPU(mCPU), Total Memory(MiB)
2025-03-10 20:45:40,nginx,40,451
2025-03-10 20:45:40,istio-system,19,111
2025-03-10 20:45:40,istio-tenant-gateway,4,38
2025-03-10 20:45:46,nginx,50,451
2025-03-10 20:45:46,istio-system,4,111
2025-03-10 20:45:46,istio-tenant-gateway,4,38
2025-03-10 20:45:51,nginx,50,451
2025-03-10 20:45:51,istio-system,4,111
2025-03-10 20:45:51,istio-tenant-gateway,4,38
2025-03-10 20:45:56,nginx,50,451
2025-03-10 20:45:56,istio-system,9,112
2025-03-10 20:45:56,istio-tenant-gateway,22,41
2025-03-10 20:46:01,nginx,50,451
2025-03-10 20:46:01,istio-system,9,112
2025-03-10 20:46:01,istio-tenant-gateway,22,41
2025-03-10 20:46:06,nginx,50,451
2025-03-10 20:46:06,istio-system,9,112
2025-03-10 20:46:06,istio-tenant-gateway,22,41
2025-03-10 20:46:11,nginx,50,451
2025-03-10 20:46:11,istio-system,12,113
2025-03-10 20:46:11,istio-tenant-gateway,24,41
2025-03-10 20:46:16,nginx,50,451
2025-03-10 20:46:16,istio-system,12,113
2025-03-10 20:46:16,istio-tenant-gateway,24,41
2025-03-10 20:46:22,nginx,50,451
2025-03-10 20:46:22,istio-system,12,113
2025-03-10 20:46:22,istio-tenant-gateway,24,41
2025-03-10 20:46:27,nginx,50,451
2025-03-10 20:46:27,istio-system,11,113
2025-03-10 20:46:27,istio-tenant-gateway,24,41
2025-03-10 20:46:32,nginx,50,451
2025-03-10 20:46:32,istio-system,11,113
2025-03-10 20:46:32,istio-tenant-gateway,24,41
2025-03-10 20:46:37,nginx,50,451
2025-03-10 20:46:37,istio-system,11,113
2025-03-10 20:46:37,istio-tenant-gateway,24,41
2025-03-10 20:46:42,nginx,50,451
2025-03-10 20:46:42,istio-system,11,113
2025-03-10 20:46:42,istio-tenant-gateway,24,41
2025-03-10 20:46:47,nginx,50,451
2025-03-10 20:46:47,istio-system,11,113
2025-03-10 20:46:47,istio-tenant-gateway,24,41
2025-03-10 20:46:53,nginx,50,451
2025-03-10 20:46:53,istio-system,11,113
2025-03-10 20:46:53,istio-tenant-gateway,24,41
2025-03-10 20:46:58,nginx,50,451
2025-03-10 20:46:58,istio-system,12,113
2025-03-10 20:46:58,istio-tenant-gateway,24,41
2025-03-10 20:47:03,nginx,50,451
2025-03-10 20:47:03,istio-system,12,113
2025-03-10 20:47:03,istio-tenant-gateway,24,41
2025-03-10 20:47:08,nginx,50,451
2025-03-10 20:47:08,istio-system,12,113
2025-03-10 20:47:08,istio-tenant-gateway,24,41
2025-03-10 20:47:13,nginx,50,451
2025-03-10 20:47:13,istio-system,14,110
2025-03-10 20:47:13,istio-tenant-gateway,27,41
2025-03-10 20:47:18,nginx,50,451
2025-03-10 20:47:18,istio-system,14,110
2025-03-10 20:47:18,istio-tenant-gateway,27,41
2025-03-10 20:47:23,nginx,50,451
2025-03-10 20:47:23,istio-system,14,110
2025-03-10 20:47:23,istio-tenant-gateway,27,41
2025-03-10 20:47:28,nginx,50,451
2025-03-10 20:47:28,istio-system,14,110
2025-03-10 20:47:28,istio-tenant-gateway,25,41
2025-03-10 20:47:34,nginx,50,451
2025-03-10 20:47:34,istio-system,14,110
2025-03-10 20:47:34,istio-tenant-gateway,25,41
2025-03-10 20:47:39,nginx,50,451
2025-03-10 20:47:39,istio-system,14,110
2025-03-10 20:47:39,istio-tenant-gateway,25,41
2025-03-10 20:47:44,nginx,50,451
2025-03-10 20:47:44,istio-system,11,110
2025-03-10 20:47:44,istio-tenant-gateway,25,41
2025-03-10 20:47:49,nginx,50,451
2025-03-10 20:47:49,istio-system,11,110
2025-03-10 20:47:49,istio-tenant-gateway,25,41
2025-03-10 20:47:54,nginx,50,451
2025-03-10 20:47:54,istio-system,11,110
2025-03-10 20:47:54,istio-tenant-gateway,25,41
2025-03-10 20:47:59,nginx,50,451
2025-03-10 20:47:59,istio-system,12,110
2025-03-10 20:47:59,istio-tenant-gateway,25,41
2025-03-10 20:48:04,nginx,50,451
2025-03-10 20:48:04,istio-system,12,110
2025-03-10 20:48:04,istio-tenant-gateway,25,41
2025-03-10 20:48:10,nginx,50,451
2025-03-10 20:48:10,istio-system,12,110
2025-03-10 20:48:10,istio-tenant-gateway,25,41
2025-03-10 20:48:15,nginx,50,451
2025-03-10 20:48:15,istio-system,12,110
2025-03-10 20:48:15,istio-tenant-gateway,25,41
2025-03-10 20:48:20,nginx,50,451
2025-03-10 20:48:20,istio-system,12,110
2025-03-10 20:48:20,istio-tenant-gateway,25,41
2025-03-10 20:48:25,nginx,50,451
2025-03-10 20:48:25,istio-system,12,110
2025-03-10 20:48:25,istio-tenant-gateway,25,41
2025-03-10 20:48:30,nginx,50,451
2025-03-10 20:48:30,istio-system,11,110
2025-03-10 20:48:30,istio-tenant-gateway,25,41
2025-03-10 20:48:35,nginx,50,451
2025-03-10 20:48:35,istio-system,11,110
2025-03-10 20:48:35,istio-tenant-gateway,25,41
2025-03-10 20:48:40,nginx,50,451
2025-03-10 20:48:40,istio-system,11,110
2025-03-10 20:48:40,istio-tenant-gateway,25,41
2025-03-10 20:48:46,nginx,50,451
2025-03-10 20:48:46,istio-system,11,110
2025-03-10 20:48:46,istio-tenant-gateway,25,41
2025-03-10 20:48:51,nginx,50,451
2025-03-10 20:48:51,istio-system,11,110
2025-03-10 20:48:51,istio-tenant-gateway,25,41
2025-03-10 20:48:56,nginx,50,451
2025-03-10 20:48:56,istio-system,11,110
2025-03-10 20:48:56,istio-tenant-gateway,25,35
2025-03-10 20:49:01,nginx,50,451
2025-03-10 20:49:01,istio-system,11,110
2025-03-10 20:49:01,istio-tenant-gateway,25,35
2025-03-10 20:49:06,nginx,50,451
2025-03-10 20:49:06,istio-system,11,110
2025-03-10 20:49:06,istio-tenant-gateway,25,35
2025-03-10 20:49:11,nginx,50,451
2025-03-10 20:49:11,istio-system,12,110
