Timestamp, Namespace, Total CPU(mCPU), Total Memory(MiB)
2025-03-14 12:40:20,nginx,10,100
2025-03-14 12:40:20,istio-system,4,113
2025-03-14 12:40:20,istio-tenant-gateway,2,49
2025-03-14 12:40:26,nginx,10,100
2025-03-14 12:40:26,istio-system,4,113
2025-03-14 12:40:26,istio-tenant-gateway,2,49
2025-03-14 12:40:31,nginx,10,100
2025-03-14 12:40:31,istio-system,5,113
2025-03-14 12:40:31,istio-tenant-gateway,5,51
2025-03-14 12:40:36,nginx,10,100
2025-03-14 12:40:36,istio-system,5,113
2025-03-14 12:40:36,istio-tenant-gateway,5,51
2025-03-14 12:40:41,nginx,10,100
2025-03-14 12:40:41,istio-system,5,113
2025-03-14 12:40:41,istio-tenant-gateway,5,51
2025-03-14 12:40:46,nginx,10,100
2025-03-14 12:40:46,istio-system,9,116
2025-03-14 12:40:46,istio-tenant-gateway,17,51
2025-03-14 12:40:52,nginx,10,100
2025-03-14 12:40:52,istio-system,9,116
2025-03-14 12:40:52,istio-tenant-gateway,17,51
2025-03-14 12:40:57,nginx,10,100
2025-03-14 12:40:57,istio-system,9,116
2025-03-14 12:40:57,istio-tenant-gateway,17,51
2025-03-14 12:41:02,nginx,10,100
2025-03-14 12:41:02,istio-system,8,116
2025-03-14 12:41:02,istio-tenant-gateway,17,51
2025-03-14 12:41:07,nginx,10,100
2025-03-14 12:41:07,istio-system,8,116
2025-03-14 12:41:07,istio-tenant-gateway,17,51
2025-03-14 12:41:13,nginx,10,100
2025-03-14 12:41:13,istio-system,8,117
2025-03-14 12:41:13,istio-tenant-gateway,17,51
2025-03-14 12:41:18,nginx,10,100
2025-03-14 12:41:18,istio-system,8,117
2025-03-14 12:41:18,istio-tenant-gateway,17,51
2025-03-14 12:41:23,nginx,10,100
2025-03-14 12:41:23,istio-system,8,117
2025-03-14 12:41:23,istio-tenant-gateway,17,51
2025-03-14 12:41:28,nginx,10,100
2025-03-14 12:41:28,istio-system,8,119
2025-03-14 12:41:28,istio-tenant-gateway,17,54
2025-03-14 12:41:33,nginx,10,100
2025-03-14 12:41:33,istio-system,8,119
2025-03-14 12:41:33,istio-tenant-gateway,17,54
2025-03-14 12:41:39,nginx,10,100
2025-03-14 12:41:39,istio-system,8,119
2025-03-14 12:41:39,istio-tenant-gateway,17,54
2025-03-14 12:41:44,nginx,10,101
2025-03-14 12:41:44,istio-system,7,119
2025-03-14 12:41:44,istio-tenant-gateway,17,54
2025-03-14 12:41:49,nginx,10,101
2025-03-14 12:41:49,istio-system,7,119
2025-03-14 12:41:49,istio-tenant-gateway,17,54
2025-03-14 12:41:54,nginx,10,101
2025-03-14 12:41:54,istio-system,7,119
2025-03-14 12:41:54,istio-tenant-gateway,17,54
2025-03-14 12:42:00,nginx,10,100
2025-03-14 12:42:00,istio-system,9,119
2025-03-14 12:42:00,istio-tenant-gateway,17,54
2025-03-14 12:42:05,nginx,10,100
2025-03-14 12:42:05,istio-system,9,119
2025-03-14 12:42:05,istio-tenant-gateway,17,54
2025-03-14 12:42:10,nginx,10,100
2025-03-14 12:42:10,istio-system,9,119
2025-03-14 12:42:10,istio-tenant-gateway,17,54
2025-03-14 12:42:15,nginx,10,100
2025-03-14 12:42:15,istio-system,8,120
2025-03-14 12:42:15,istio-tenant-gateway,17,54
2025-03-14 12:42:20,nginx,10,100
2025-03-14 12:42:20,istio-system,8,120
2025-03-14 12:42:20,istio-tenant-gateway,17,54
2025-03-14 12:42:26,nginx,10,100
2025-03-14 12:42:26,istio-system,8,120
2025-03-14 12:42:26,istio-tenant-gateway,17,54
2025-03-14 12:42:31,nginx,10,101
2025-03-14 12:42:31,istio-system,7,120
2025-03-14 12:42:31,istio-tenant-gateway,17,54
2025-03-14 12:42:36,nginx,10,101
2025-03-14 12:42:36,istio-system,7,120
2025-03-14 12:42:36,istio-tenant-gateway,17,54
2025-03-14 12:42:41,nginx,10,101
2025-03-14 12:42:41,istio-system,7,120
2025-03-14 12:42:41,istio-tenant-gateway,17,54
2025-03-14 12:42:46,nginx,10,101
