Timestamp, Namespace, Total CPU(mCPU), Total Memory(MiB)
2025-03-12 15:54:51,nginx,50,670
2025-03-12 15:54:51,linkerd,3,191
2025-03-12 15:54:56,nginx,50,670
2025-03-12 15:54:56,linkerd,3,191
2025-03-12 15:55:02,nginx,50,670
2025-03-12 15:55:02,linkerd,3,191
2025-03-12 15:55:07,nginx,50,670
2025-03-12 15:55:07,linkerd,3,191
2025-03-12 15:55:12,nginx,50,670
2025-03-12 15:55:12,linkerd,3,191
2025-03-12 15:55:17,nginx,50,670
2025-03-12 15:55:17,linkerd,3,191
2025-03-12 15:55:22,nginx,50,670
2025-03-12 15:55:22,linkerd,3,191
2025-03-12 15:55:27,nginx,50,670
2025-03-12 15:55:27,linkerd,3,191
2025-03-12 15:55:32,nginx,60,669
2025-03-12 15:55:32,linkerd,3,191
2025-03-12 15:55:37,nginx,60,669
2025-03-12 15:55:37,linkerd,3,191
2025-03-12 15:55:42,nginx,60,669
2025-03-12 15:55:42,linkerd,3,191
2025-03-12 15:55:47,nginx,60,669
2025-03-12 15:55:47,linkerd,3,191
2025-03-12 15:55:53,nginx,60,669
2025-03-12 15:55:53,linkerd,3,191
2025-03-12 15:55:58,nginx,60,669
2025-03-12 15:55:58,linkerd,3,191
2025-03-12 15:56:03,nginx,60,669
2025-03-12 15:56:03,linkerd,3,191
2025-03-12 15:56:08,nginx,60,669
2025-03-12 15:56:08,linkerd,3,191
2025-03-12 15:56:13,nginx,60,669
2025-03-12 15:56:13,linkerd,3,191
2025-03-12 15:56:18,nginx,60,669
2025-03-12 15:56:18,linkerd,3,191
2025-03-12 15:56:23,nginx,60,669
2025-03-12 15:56:23,linkerd,3,191
2025-03-12 15:56:28,nginx,60,669
2025-03-12 15:56:28,linkerd,3,191
2025-03-12 15:56:33,nginx,60,669
2025-03-12 15:56:33,linkerd,3,191
2025-03-12 15:56:38,nginx,60,669
2025-03-12 15:56:38,linkerd,3,191
2025-03-12 15:56:44,nginx,60,669
2025-03-12 15:56:44,linkerd,3,191
2025-03-12 15:56:49,nginx,60,669
2025-03-12 15:56:49,linkerd,3,191
2025-03-12 15:56:54,nginx,60,669
2025-03-12 15:56:54,linkerd,3,191
2025-03-12 15:56:59,nginx,60,669
2025-03-12 15:56:59,linkerd,3,191
2025-03-12 15:57:04,nginx,60,669
2025-03-12 15:57:04,linkerd,3,191
2025-03-12 15:57:09,nginx,60,669
2025-03-12 15:57:09,linkerd,3,191
2025-03-12 15:57:14,nginx,60,669
2025-03-12 15:57:14,linkerd,3,191
2025-03-12 15:57:19,nginx,60,669
2025-03-12 15:57:19,linkerd,3,191
2025-03-12 15:57:24,nginx,60,669
2025-03-12 15:57:24,linkerd,3,191
2025-03-12 15:57:30,nginx,60,669
2025-03-12 15:57:30,linkerd,3,191
2025-03-12 15:57:35,nginx,60,669
2025-03-12 15:57:35,linkerd,3,191
2025-03-12 15:57:40,nginx,60,669
2025-03-12 15:57:40,linkerd,3,191
2025-03-12 15:57:45,nginx,60,669
2025-03-12 15:57:45,linkerd,3,191
2025-03-12 15:57:50,nginx,60,669
2025-03-12 15:57:50,linkerd,3,191
2025-03-12 15:57:55,nginx,60,669
2025-03-12 15:57:55,linkerd,3,191
2025-03-12 15:58:00,nginx,60,669
2025-03-12 15:58:00,linkerd,3,191
2025-03-12 15:58:05,nginx,60,669
2025-03-12 15:58:05,linkerd,3,191
2025-03-12 15:58:10,nginx,60,669
2025-03-12 15:58:10,linkerd,3,191
2025-03-12 15:58:15,nginx,60,669
2025-03-12 15:58:15,linkerd,3,191
2025-03-12 15:58:21,nginx,60,669
2025-03-12 15:58:21,linkerd,3,191
2025-03-12 15:58:26,nginx,60,669
2025-03-12 15:58:26,linkerd,3,191
2025-03-12 15:58:31,nginx,60,669
2025-03-12 15:58:31,linkerd,3,191
2025-03-12 15:58:36,nginx,60,669
2025-03-12 15:58:36,linkerd,3,191
2025-03-12 15:58:41,nginx,60,669
2025-03-12 15:58:41,linkerd,3,191
2025-03-12 15:58:46,nginx,60,669
2025-03-12 15:58:46,linkerd,3,191
2025-03-12 15:58:51,nginx,60,669
2025-03-12 15:58:51,linkerd,3,191
2025-03-12 15:58:56,nginx,60,669
2025-03-12 15:58:56,linkerd,3,191
2025-03-12 15:59:01,nginx,60,669
2025-03-12 15:59:01,linkerd,3,191
2025-03-12 15:59:06,nginx,60,669
2025-03-12 15:59:06,linkerd,3,191
2025-03-12 15:59:12,nginx,60,669
2025-03-12 15:59:12,linkerd,3,191
2025-03-12 15:59:17,nginx,60,669
2025-03-12 15:59:17,linkerd,3,191
2025-03-12 15:59:22,nginx,60,669
2025-03-12 15:59:22,linkerd,3,191
2025-03-12 15:59:27,nginx,60,669
2025-03-12 15:59:27,linkerd,3,191
2025-03-12 15:59:32,nginx,60,667
2025-03-12 15:59:32,linkerd,4,191
2025-03-12 15:59:37,nginx,60,667
2025-03-12 15:59:37,linkerd,4,191
2025-03-12 15:59:42,nginx,60,667
2025-03-12 15:59:42,linkerd,4,191
2025-03-12 15:59:47,nginx,60,667
2025-03-12 15:59:47,linkerd,4,191
