Timestamp, Namespace, Total CPU(mCPU), Total Memory(MiB)
2025-03-12 16:01:39,nginx,108,1147
2025-03-12 16:01:39,linkerd,60,208
2025-03-12 16:01:44,nginx,108,1147
2025-03-12 16:01:44,linkerd,60,208
2025-03-12 16:01:49,nginx,108,1147
2025-03-12 16:01:49,linkerd,60,208
2025-03-12 16:01:55,nginx,108,1147
2025-03-12 16:01:55,linkerd,60,208
2025-03-12 16:02:00,nginx,108,1147
2025-03-12 16:02:00,linkerd,60,208
2025-03-12 16:02:05,nginx,108,1147
2025-03-12 16:02:05,linkerd,60,208
2025-03-12 16:02:10,nginx,108,1147
2025-03-12 16:02:10,linkerd,60,208
2025-03-12 16:02:15,nginx,108,1147
2025-03-12 16:02:15,linkerd,60,208
2025-03-12 16:02:20,nginx,108,1147
2025-03-12 16:02:20,linkerd,60,208
2025-03-12 16:02:25,nginx,108,1147
2025-03-12 16:02:25,linkerd,60,208
2025-03-12 16:02:30,nginx,97,1199
2025-03-12 16:02:30,linkerd,40,212
2025-03-12 16:02:35,nginx,97,1199
2025-03-12 16:02:35,linkerd,40,212
2025-03-12 16:02:40,nginx,97,1199
2025-03-12 16:02:40,linkerd,40,212
2025-03-12 16:02:46,nginx,97,1199
2025-03-12 16:02:46,linkerd,40,212
2025-03-12 16:02:51,nginx,97,1199
2025-03-12 16:02:51,linkerd,40,212
2025-03-12 16:02:56,nginx,97,1199
2025-03-12 16:02:56,linkerd,40,212
2025-03-12 16:03:01,nginx,97,1199
2025-03-12 16:03:01,linkerd,40,212
2025-03-12 16:03:06,nginx,97,1199
2025-03-12 16:03:06,linkerd,40,212
2025-03-12 16:03:11,nginx,97,1199
2025-03-12 16:03:11,linkerd,40,212
2025-03-12 16:03:16,nginx,97,1199
2025-03-12 16:03:16,linkerd,40,212
2025-03-12 16:03:21,nginx,97,1199
2025-03-12 16:03:21,linkerd,40,212
2025-03-12 16:03:26,nginx,97,1199
2025-03-12 16:03:26,linkerd,40,212
2025-03-12 16:03:32,nginx,97,1197
2025-03-12 16:03:32,linkerd,39,211
2025-03-12 16:03:37,nginx,97,1197
2025-03-12 16:03:37,linkerd,39,211
2025-03-12 16:03:42,nginx,97,1197
2025-03-12 16:03:42,linkerd,39,211
2025-03-12 16:03:47,nginx,97,1197
2025-03-12 16:03:47,linkerd,39,211
2025-03-12 16:03:52,nginx,97,1197
2025-03-12 16:03:52,linkerd,39,211
2025-03-12 16:03:57,nginx,97,1197
2025-03-12 16:03:57,linkerd,39,211
2025-03-12 16:04:02,nginx,97,1197
2025-03-12 16:04:02,linkerd,39,211
2025-03-12 16:04:07,nginx,97,1197
2025-03-12 16:04:07,linkerd,39,211
2025-03-12 16:04:12,nginx,97,1197
2025-03-12 16:04:12,linkerd,39,211
2025-03-12 16:04:18,nginx,97,1197
2025-03-12 16:04:18,linkerd,39,211
2025-03-12 16:04:23,nginx,97,1197
2025-03-12 16:04:23,linkerd,39,211
2025-03-12 16:04:28,nginx,97,1197
2025-03-12 16:04:28,linkerd,39,211
2025-03-12 16:04:33,nginx,95,1221
2025-03-12 16:04:33,linkerd,3,223
2025-03-12 16:04:38,nginx,95,1221
2025-03-12 16:04:38,linkerd,3,223
2025-03-12 16:04:43,nginx,95,1221
2025-03-12 16:04:43,linkerd,3,223
2025-03-12 16:04:48,nginx,95,1221
2025-03-12 16:04:48,linkerd,3,223
2025-03-12 16:04:53,nginx,95,1221
2025-03-12 16:04:53,linkerd,3,223
2025-03-12 16:04:58,nginx,95,1221
2025-03-12 16:04:58,linkerd,3,223
2025-03-12 16:05:03,nginx,95,1221
2025-03-12 16:05:03,linkerd,3,223
2025-03-12 16:05:09,nginx,95,1221
2025-03-12 16:05:09,linkerd,3,223
2025-03-12 16:05:14,nginx,95,1221
2025-03-12 16:05:14,linkerd,3,223
2025-03-12 16:05:19,nginx,95,1221
2025-03-12 16:05:19,linkerd,3,223
2025-03-12 16:05:24,nginx,95,1221
2025-03-12 16:05:24,linkerd,3,223
2025-03-12 16:05:29,nginx,95,1219
2025-03-12 16:05:29,linkerd,3,218
2025-03-12 16:05:34,nginx,95,1219
2025-03-12 16:05:34,linkerd,3,218
2025-03-12 16:05:39,nginx,95,1219
2025-03-12 16:05:39,linkerd,3,218
2025-03-12 16:05:44,nginx,95,1219
2025-03-12 16:05:44,linkerd,3,218
2025-03-12 16:05:49,nginx,95,1219
2025-03-12 16:05:49,linkerd,3,218
2025-03-12 16:05:55,nginx,95,1219
2025-03-12 16:05:55,linkerd,3,218
2025-03-12 16:06:00,nginx,95,1219
2025-03-12 16:06:00,linkerd,3,218
2025-03-12 16:06:05,nginx,95,1219
2025-03-12 16:06:05,linkerd,3,218
2025-03-12 16:06:10,nginx,95,1219
2025-03-12 16:06:10,linkerd,3,218
2025-03-12 16:06:15,nginx,95,1219
2025-03-12 16:06:15,linkerd,3,218
2025-03-12 16:06:20,nginx,95,1219
2025-03-12 16:06:20,linkerd,3,218
2025-03-12 16:06:25,nginx,95,1219
2025-03-12 16:06:25,linkerd,3,218
2025-03-12 16:06:30,nginx,96,1220
2025-03-12 16:06:30,linkerd,3,216
2025-03-12 16:06:35,nginx,96,1220
2025-03-12 16:06:35,linkerd,3,216
