Timestamp, Namespace, Total CPU(mCPU), Total Memory(MiB)
2025-03-12 15:36:20,nginx,10,143
2025-03-12 15:36:20,linkerd,3,178
2025-03-12 15:36:25,nginx,10,143
2025-03-12 15:36:25,linkerd,3,178
2025-03-12 15:36:30,nginx,11,143
2025-03-12 15:36:30,linkerd,3,178
2025-03-12 15:36:35,nginx,11,143
2025-03-12 15:36:35,linkerd,3,178
2025-03-12 15:36:40,nginx,11,143
2025-03-12 15:36:40,linkerd,3,178
2025-03-12 15:36:45,nginx,11,143
2025-03-12 15:36:45,linkerd,3,178
2025-03-12 15:36:50,nginx,11,143
2025-03-12 15:36:50,linkerd,3,178
2025-03-12 15:36:55,nginx,11,143
2025-03-12 15:36:55,linkerd,3,178
2025-03-12 15:37:00,nginx,11,143
2025-03-12 15:37:00,linkerd,3,178
2025-03-12 15:37:06,nginx,11,143
2025-03-12 15:37:06,linkerd,3,178
2025-03-12 15:37:11,nginx,11,143
2025-03-12 15:37:11,linkerd,3,178
2025-03-12 15:37:16,nginx,11,143
2025-03-12 15:37:16,linkerd,3,178
2025-03-12 15:37:21,nginx,11,143
2025-03-12 15:37:21,linkerd,3,178
2025-03-12 15:37:26,nginx,11,143
2025-03-12 15:37:26,linkerd,3,178
2025-03-12 15:37:31,nginx,19,143
2025-03-12 15:37:31,linkerd,3,178
2025-03-12 15:37:36,nginx,19,143
2025-03-12 15:37:36,linkerd,3,178
2025-03-12 15:37:41,nginx,19,143
2025-03-12 15:37:41,linkerd,3,178
2025-03-12 15:37:46,nginx,19,143
2025-03-12 15:37:46,linkerd,3,178
2025-03-12 15:37:51,nginx,19,143
2025-03-12 15:37:51,linkerd,3,178
2025-03-12 15:37:57,nginx,19,143
2025-03-12 15:37:57,linkerd,3,178
2025-03-12 15:38:02,nginx,19,143
2025-03-12 15:38:02,linkerd,3,178
2025-03-12 15:38:07,nginx,19,143
2025-03-12 15:38:07,linkerd,3,178
2025-03-12 15:38:12,nginx,19,143
2025-03-12 15:38:12,linkerd,3,178
2025-03-12 15:38:17,nginx,19,143
2025-03-12 15:38:17,linkerd,3,178
2025-03-12 15:38:22,nginx,19,143
2025-03-12 15:38:22,linkerd,3,178
2025-03-12 15:38:27,nginx,19,143
2025-03-12 15:38:27,linkerd,3,178
2025-03-12 15:38:32,nginx,19,143
2025-03-12 15:38:32,linkerd,3,178
2025-03-12 15:38:37,nginx,19,143
2025-03-12 15:38:37,linkerd,3,178
2025-03-12 15:38:43,nginx,19,143
2025-03-12 15:38:43,linkerd,3,178
2025-03-12 15:38:48,nginx,19,143
2025-03-12 15:38:48,linkerd,3,178
2025-03-12 15:38:53,nginx,19,143
2025-03-12 15:38:53,linkerd,3,178
2025-03-12 15:38:58,nginx,19,143
2025-03-12 15:38:58,linkerd,3,178
2025-03-12 15:39:03,nginx,19,143
2025-03-12 15:39:03,linkerd,3,178
2025-03-12 15:39:08,nginx,19,143
2025-03-12 15:39:08,linkerd,3,178
2025-03-12 15:39:13,nginx,19,143
2025-03-12 15:39:13,linkerd,3,178
2025-03-12 15:39:18,nginx,19,143
2025-03-12 15:39:18,linkerd,3,178
2025-03-12 15:39:23,nginx,19,143
2025-03-12 15:39:23,linkerd,3,178
2025-03-12 15:39:28,nginx,19,143
2025-03-12 15:39:28,linkerd,3,178
2025-03-12 15:39:34,nginx,19,143
2025-03-12 15:39:34,linkerd,3,179
2025-03-12 15:39:39,nginx,19,143
2025-03-12 15:39:39,linkerd,3,179
2025-03-12 15:39:44,nginx,19,143
2025-03-12 15:39:44,linkerd,3,179
2025-03-12 15:39:49,nginx,19,143
2025-03-12 15:39:49,linkerd,3,179
2025-03-12 15:39:54,nginx,19,143
2025-03-12 15:39:54,linkerd,3,179
2025-03-12 15:39:59,nginx,19,143
2025-03-12 15:39:59,linkerd,3,179
2025-03-12 15:40:04,nginx,19,143
2025-03-12 15:40:04,linkerd,3,179
2025-03-12 15:40:09,nginx,19,143
2025-03-12 15:40:09,linkerd,3,179
2025-03-12 15:40:14,nginx,19,143
2025-03-12 15:40:14,linkerd,3,179
2025-03-12 15:40:19,nginx,19,143
2025-03-12 15:40:19,linkerd,3,179
2025-03-12 15:40:25,nginx,19,143
2025-03-12 15:40:25,linkerd,3,179
2025-03-12 15:40:30,nginx,19,142
2025-03-12 15:40:30,linkerd,3,179
2025-03-12 15:40:35,nginx,19,142
2025-03-12 15:40:35,linkerd,3,179
2025-03-12 15:40:40,nginx,19,142
2025-03-12 15:40:40,linkerd,3,179
2025-03-12 15:40:45,nginx,19,142
2025-03-12 15:40:45,linkerd,3,179
2025-03-12 15:40:50,nginx,19,142
2025-03-12 15:40:50,linkerd,3,179
2025-03-12 15:40:55,nginx,19,142
2025-03-12 15:40:55,linkerd,3,179
2025-03-12 15:41:00,nginx,19,142
2025-03-12 15:41:00,linkerd,3,179
2025-03-12 15:41:05,nginx,19,142
2025-03-12 15:41:05,linkerd,3,179
2025-03-12 15:41:10,nginx,19,142
2025-03-12 15:41:10,linkerd,3,179
2025-03-12 15:41:16,nginx,19,142
2025-03-12 15:41:16,linkerd,3,179
