Timestamp, Namespace, Total CPU(mCPU), Max CPU(mCPU), Total Memory(MiB), Max Memory(MiB)
2025-03-10 14:05:12,nginx,11,11m,46,46Mi
2025-03-10 14:05:12,istio-system,4,4m,49,49Mi
2025-03-10 14:05:12,istio-tenant-gateway,4,4m,32,32Mi
2025-03-10 14:05:17,nginx,11,11m,46,46Mi
2025-03-10 14:05:17,istio-system,4,4m,49,49Mi
2025-03-10 14:05:17,istio-tenant-gateway,4,4m,32,32Mi
2025-03-10 14:05:23,nginx,11,11m,46,46Mi
2025-03-10 14:05:23,istio-system,4,4m,49,49Mi
2025-03-10 14:05:23,istio-tenant-gateway,4,4m,32,32Mi
2025-03-10 14:05:28,nginx,16,16m,46,46Mi
2025-03-10 14:05:28,istio-system,2,2m,48,48Mi
2025-03-10 14:05:28,istio-tenant-gateway,13,13m,32,32Mi
2025-03-10 14:05:33,nginx,16,16m,46,46Mi
2025-03-10 14:05:33,istio-system,2,2m,48,48Mi
2025-03-10 14:05:33,istio-tenant-gateway,13,13m,32,32Mi
2025-03-10 14:05:38,nginx,16,16m,46,46Mi
2025-03-10 14:05:38,istio-system,2,2m,48,48Mi
2025-03-10 14:05:38,istio-tenant-gateway,13,13m,32,32Mi
2025-03-10 14:05:43,nginx,21,21m,46,46Mi
2025-03-10 14:05:43,istio-system,3,3m,49,49Mi
2025-03-10 14:05:43,istio-tenant-gateway,17,17m,32,32Mi
2025-03-10 14:05:48,nginx,21,21m,46,46Mi
2025-03-10 14:05:48,istio-system,3,3m,49,49Mi
2025-03-10 14:05:48,istio-tenant-gateway,17,17m,32,32Mi
2025-03-10 14:05:53,nginx,21,21m,46,46Mi
2025-03-10 14:05:53,istio-system,3,3m,49,49Mi
2025-03-10 14:05:53,istio-tenant-gateway,17,17m,32,32Mi
2025-03-10 14:05:59,nginx,27,27m,46,46Mi
2025-03-10 14:05:59,istio-system,2,2m,48,48Mi
2025-03-10 14:05:59,istio-tenant-gateway,23,23m,32,32Mi
