Timestamp, Namespace, Total CPU(mCPU), Total Memory(MiB)
2025-03-14 14:12:51,nginx,54,2720
2025-03-14 14:12:51,istio-system,2,144
2025-03-14 14:12:51,istio-tenant-gateway,1,55
2025-03-14 14:12:57,nginx,152,2845
2025-03-14 14:12:57,istio-system,147,234
2025-03-14 14:12:57,istio-tenant-gateway,6,60
2025-03-14 14:13:02,nginx,152,2845
2025-03-14 14:13:02,istio-system,147,234
2025-03-14 14:13:02,istio-tenant-gateway,6,60
2025-03-14 14:13:07,nginx,152,2845
2025-03-14 14:13:07,istio-system,147,234
2025-03-14 14:13:07,istio-tenant-gateway,6,60
2025-03-14 14:13:12,nginx,319,5127
2025-03-14 14:13:12,istio-system,62,240
2025-03-14 14:13:12,istio-tenant-gateway,6,60
2025-03-14 14:13:17,nginx,319,5127
2025-03-14 14:13:17,istio-system,62,240
2025-03-14 14:13:17,istio-tenant-gateway,6,60
2025-03-14 14:13:23,nginx,164,5136
2025-03-14 14:13:23,istio-system,2,240
2025-03-14 14:13:23,istio-tenant-gateway,12,60
2025-03-14 14:13:28,nginx,164,5136
2025-03-14 14:13:28,istio-system,2,240
2025-03-14 14:13:28,istio-tenant-gateway,12,60
2025-03-14 14:13:33,nginx,164,5136
2025-03-14 14:13:33,istio-system,2,240
2025-03-14 14:13:33,istio-tenant-gateway,12,60
2025-03-14 14:13:38,nginx,170,5148
2025-03-14 14:13:38,istio-system,3,240
2025-03-14 14:13:38,istio-tenant-gateway,10,60
2025-03-14 14:13:44,nginx,170,5148
2025-03-14 14:13:44,istio-system,3,240
2025-03-14 14:13:44,istio-tenant-gateway,10,60
2025-03-14 14:13:49,nginx,170,5148
2025-03-14 14:13:49,istio-system,3,240
2025-03-14 14:13:49,istio-tenant-gateway,10,60
2025-03-14 14:13:54,nginx,171,5155
2025-03-14 14:13:54,istio-system,2,240
2025-03-14 14:13:54,istio-tenant-gateway,10,60
2025-03-14 14:13:59,nginx,171,5155
2025-03-14 14:13:59,istio-system,2,240
2025-03-14 14:13:59,istio-tenant-gateway,10,60
2025-03-14 14:14:04,nginx,171,5155
2025-03-14 14:14:04,istio-system,2,240
2025-03-14 14:14:04,istio-tenant-gateway,10,60
2025-03-14 14:14:10,nginx,169,5165
2025-03-14 14:14:10,istio-system,2,240
2025-03-14 14:14:10,istio-tenant-gateway,10,60
2025-03-14 14:14:15,nginx,169,5165
2025-03-14 14:14:15,istio-system,2,240
2025-03-14 14:14:15,istio-tenant-gateway,10,60
2025-03-14 14:14:20,nginx,169,5165
2025-03-14 14:14:20,istio-system,2,240
2025-03-14 14:14:20,istio-tenant-gateway,10,60
2025-03-14 14:14:25,nginx,171,5166
2025-03-14 14:14:25,istio-system,2,240
2025-03-14 14:14:25,istio-tenant-gateway,10,60
2025-03-14 14:14:31,nginx,171,5166
2025-03-14 14:14:31,istio-system,2,240
2025-03-14 14:14:31,istio-tenant-gateway,10,60
2025-03-14 14:14:36,nginx,171,5166
2025-03-14 14:14:36,istio-system,2,240
2025-03-14 14:14:36,istio-tenant-gateway,10,60
2025-03-14 14:14:41,nginx,172,5162
2025-03-14 14:14:41,istio-system,3,240
2025-03-14 14:14:41,istio-tenant-gateway,11,60
2025-03-14 14:14:46,nginx,172,5162
2025-03-14 14:14:46,istio-system,3,240
2025-03-14 14:14:46,istio-tenant-gateway,11,60
2025-03-14 14:14:51,nginx,172,5162
2025-03-14 14:14:51,istio-system,3,240
2025-03-14 14:14:51,istio-tenant-gateway,11,60
2025-03-14 14:14:57,nginx,175,5161
2025-03-14 14:14:57,istio-system,2,240
2025-03-14 14:14:57,istio-tenant-gateway,10,60
2025-03-14 14:15:02,nginx,175,5161
2025-03-14 14:15:02,istio-system,2,240
2025-03-14 14:15:02,istio-tenant-gateway,10,60
2025-03-14 14:15:07,nginx,175,5161
2025-03-14 14:15:07,istio-system,2,240
2025-03-14 14:15:07,istio-tenant-gateway,10,60
2025-03-14 14:15:12,nginx,174,5149
2025-03-14 14:15:12,istio-system,4,195
2025-03-14 14:15:12,istio-tenant-gateway,11,56
2025-03-14 14:15:18,nginx,174,5149
2025-03-14 14:15:18,istio-system,4,195
2025-03-14 14:15:18,istio-tenant-gateway,11,56
2025-03-14 14:15:23,nginx,162,5146
2025-03-14 14:15:23,istio-system,4,195
2025-03-14 14:15:23,istio-tenant-gateway,10,56
2025-03-14 14:15:28,nginx,162,5146
2025-03-14 14:15:28,istio-system,4,195
2025-03-14 14:15:28,istio-tenant-gateway,10,56
2025-03-14 14:15:33,nginx,162,5146
2025-03-14 14:15:33,istio-system,4,195
2025-03-14 14:15:33,istio-tenant-gateway,10,56
2025-03-14 14:15:39,nginx,168,5147
2025-03-14 14:15:39,istio-system,3,195
2025-03-14 14:15:39,istio-tenant-gateway,10,56
2025-03-14 14:15:44,nginx,168,5147
2025-03-14 14:15:44,istio-system,3,195
2025-03-14 14:15:44,istio-tenant-gateway,10,56
2025-03-14 14:15:49,nginx,168,5147
2025-03-14 14:15:49,istio-system,3,195
2025-03-14 14:15:49,istio-tenant-gateway,10,56
2025-03-14 14:15:54,nginx,158,5144
2025-03-14 14:15:54,istio-system,2,195
2025-03-14 14:15:54,istio-tenant-gateway,10,56
2025-03-14 14:15:59,nginx,158,5144
2025-03-14 14:15:59,istio-system,2,195
2025-03-14 14:15:59,istio-tenant-gateway,10,56
2025-03-14 14:16:05,nginx,158,5144
2025-03-14 14:16:05,istio-system,2,195
2025-03-14 14:16:05,istio-tenant-gateway,10,56
2025-03-14 14:16:10,nginx,170,5132
2025-03-14 14:16:10,istio-system,3,195
2025-03-14 14:16:10,istio-tenant-gateway,10,56
2025-03-14 14:16:15,nginx,170,5132
2025-03-14 14:16:15,istio-system,3,195
2025-03-14 14:16:15,istio-tenant-gateway,10,56
2025-03-14 14:16:20,nginx,170,5132
2025-03-14 14:16:20,istio-system,3,195
2025-03-14 14:16:20,istio-tenant-gateway,10,56
2025-03-14 14:16:26,nginx,155,5130
2025-03-14 14:16:26,istio-system,2,195
2025-03-14 14:16:26,istio-tenant-gateway,10,56
2025-03-14 14:16:31,nginx,155,5130
2025-03-14 14:16:31,istio-system,2,195
2025-03-14 14:16:31,istio-tenant-gateway,10,56
2025-03-14 14:16:36,nginx,155,5130
2025-03-14 14:16:36,istio-system,2,195
2025-03-14 14:16:36,istio-tenant-gateway,10,56
2025-03-14 14:16:41,nginx,158,5131
2025-03-14 14:16:41,istio-system,2,195
2025-03-14 14:16:41,istio-tenant-gateway,10,56
2025-03-14 14:16:46,nginx,158,5131
2025-03-14 14:16:46,istio-system,2,195
2025-03-14 14:16:46,istio-tenant-gateway,10,56
2025-03-14 14:16:52,nginx,158,5131
2025-03-14 14:16:52,istio-system,2,195
2025-03-14 14:16:52,istio-tenant-gateway,10,56
2025-03-14 14:16:57,nginx,167,5090
2025-03-14 14:16:57,istio-system,2,195
2025-03-14 14:16:57,istio-tenant-gateway,10,56
2025-03-14 14:17:02,nginx,167,5090
2025-03-14 14:17:02,istio-system,2,195
2025-03-14 14:17:02,istio-tenant-gateway,10,56
2025-03-14 14:17:07,nginx,167,5090
2025-03-14 14:17:07,istio-system,4,195
2025-03-14 14:17:07,istio-tenant-gateway,11,56
2025-03-14 14:17:13,nginx,180,4890
2025-03-14 14:17:13,istio-system,4,195
2025-03-14 14:17:13,istio-tenant-gateway,11,56
2025-03-14 14:17:18,nginx,180,4890
2025-03-14 14:17:18,istio-system,4,195
2025-03-14 14:17:18,istio-tenant-gateway,11,56
2025-03-14 14:17:23,nginx,168,4880
2025-03-14 14:17:23,istio-system,3,195
2025-03-14 14:17:23,istio-tenant-gateway,10,53
2025-03-14 14:17:28,nginx,168,4880
2025-03-14 14:17:28,istio-system,3,195
2025-03-14 14:17:28,istio-tenant-gateway,10,53
2025-03-14 14:17:34,nginx,168,4880
2025-03-14 14:17:34,istio-system,3,195
2025-03-14 14:17:34,istio-tenant-gateway,10,53
2025-03-14 14:17:39,nginx,168,4878
2025-03-14 14:17:39,istio-system,3,195
2025-03-14 14:17:39,istio-tenant-gateway,10,53
2025-03-14 14:17:44,nginx,168,4878
2025-03-14 14:17:44,istio-system,3,195
2025-03-14 14:17:44,istio-tenant-gateway,10,53
2025-03-14 14:17:49,nginx,168,4878
2025-03-14 14:17:49,istio-system,3,195
2025-03-14 14:17:49,istio-tenant-gateway,10,53
