Timestamp, Namespace, Total CPU(mCPU), Total Memory(MiB)
2025-03-11 10:49:09,nginx,90,811
2025-03-11 10:49:09,istio-system,22,128
2025-03-11 10:49:09,istio-tenant-gateway,8,46
2025-03-11 10:49:14,nginx,90,811
2025-03-11 10:49:14,istio-system,22,128
2025-03-11 10:49:14,istio-tenant-gateway,8,46
2025-03-11 10:49:19,nginx,90,811
2025-03-11 10:49:19,istio-system,22,128
2025-03-11 10:49:19,istio-tenant-gateway,8,46
2025-03-11 10:49:24,nginx,90,811
2025-03-11 10:49:24,istio-system,9,128
2025-03-11 10:49:24,istio-tenant-gateway,13,47
2025-03-11 10:49:29,nginx,90,811
2025-03-11 10:49:29,istio-system,9,128
2025-03-11 10:49:29,istio-tenant-gateway,13,47
2025-03-11 10:49:34,nginx,90,811
2025-03-11 10:49:34,istio-system,9,128
2025-03-11 10:49:34,istio-tenant-gateway,13,47
2025-03-11 10:49:40,nginx,92,811
2025-03-11 10:49:40,istio-system,15,125
2025-03-11 10:49:40,istio-tenant-gateway,26,49
2025-03-11 10:49:45,nginx,92,811
2025-03-11 10:49:45,istio-system,15,125
2025-03-11 10:49:45,istio-tenant-gateway,26,49
2025-03-11 10:49:50,nginx,92,811
2025-03-11 10:49:50,istio-system,15,125
2025-03-11 10:49:50,istio-tenant-gateway,26,49
2025-03-11 10:49:55,nginx,90,811
2025-03-11 10:49:55,istio-system,12,125
2025-03-11 10:49:55,istio-tenant-gateway,24,49
2025-03-11 10:50:00,nginx,90,811
2025-03-11 10:50:00,istio-system,12,125
2025-03-11 10:50:00,istio-tenant-gateway,24,49
2025-03-11 10:50:05,nginx,90,811
2025-03-11 10:50:05,istio-system,12,125
2025-03-11 10:50:05,istio-tenant-gateway,23,49
2025-03-11 10:50:10,nginx,90,811
2025-03-11 10:50:10,istio-system,12,125
2025-03-11 10:50:10,istio-tenant-gateway,23,49
2025-03-11 10:50:16,nginx,90,811
2025-03-11 10:50:16,istio-system,12,125
2025-03-11 10:50:16,istio-tenant-gateway,23,49
2025-03-11 10:50:21,nginx,90,811
2025-03-11 10:50:21,istio-system,12,125
2025-03-11 10:50:21,istio-tenant-gateway,24,49
2025-03-11 10:50:26,nginx,90,811
2025-03-11 10:50:26,istio-system,12,125
2025-03-11 10:50:26,istio-tenant-gateway,24,49
2025-03-11 10:50:31,nginx,90,811
2025-03-11 10:50:31,istio-system,12,125
2025-03-11 10:50:31,istio-tenant-gateway,24,49
2025-03-11 10:50:36,nginx,90,811
2025-03-11 10:50:36,istio-system,13,125
2025-03-11 10:50:36,istio-tenant-gateway,23,49
2025-03-11 10:50:41,nginx,90,811
2025-03-11 10:50:41,istio-system,13,125
2025-03-11 10:50:41,istio-tenant-gateway,23,49
2025-03-11 10:50:47,nginx,90,811
2025-03-11 10:50:47,istio-system,13,125
2025-03-11 10:50:47,istio-tenant-gateway,23,49
2025-03-11 10:50:52,nginx,90,811
2025-03-11 10:50:52,istio-system,12,114
2025-03-11 10:50:52,istio-tenant-gateway,23,49
2025-03-11 10:50:57,nginx,90,811
2025-03-11 10:50:57,istio-system,12,114
2025-03-11 10:50:57,istio-tenant-gateway,23,49
2025-03-11 10:51:02,nginx,90,811
2025-03-11 10:51:02,istio-system,12,114
2025-03-11 10:51:02,istio-tenant-gateway,23,49
2025-03-11 10:51:07,nginx,90,811
2025-03-11 10:51:07,istio-system,13,114
2025-03-11 10:51:07,istio-tenant-gateway,21,49
2025-03-11 10:51:12,nginx,90,811
2025-03-11 10:51:12,istio-system,13,114
2025-03-11 10:51:12,istio-tenant-gateway,21,49
2025-03-11 10:51:17,nginx,90,811
2025-03-11 10:51:17,istio-system,13,114
2025-03-11 10:51:17,istio-tenant-gateway,21,49
2025-03-11 10:51:23,nginx,90,811
2025-03-11 10:51:23,istio-system,12,114
2025-03-11 10:51:23,istio-tenant-gateway,23,49
2025-03-11 10:51:28,nginx,90,811
2025-03-11 10:51:28,istio-system,12,114
2025-03-11 10:51:28,istio-tenant-gateway,23,49
2025-03-11 10:51:33,nginx,90,811
2025-03-11 10:51:33,istio-system,12,114
2025-03-11 10:51:33,istio-tenant-gateway,23,49
2025-03-11 10:51:38,nginx,90,811
2025-03-11 10:51:38,istio-system,11,114
2025-03-11 10:51:38,istio-tenant-gateway,21,49
2025-03-11 10:51:43,nginx,90,811
2025-03-11 10:51:43,istio-system,11,114
2025-03-11 10:51:43,istio-tenant-gateway,21,49
2025-03-11 10:51:48,nginx,90,811
2025-03-11 10:51:48,istio-system,11,114
2025-03-11 10:51:48,istio-tenant-gateway,21,49
2025-03-11 10:51:54,nginx,90,811
2025-03-11 10:51:54,istio-system,13,114
2025-03-11 10:51:54,istio-tenant-gateway,22,49
2025-03-11 10:51:59,nginx,90,811
2025-03-11 10:51:59,istio-system,13,114
2025-03-11 10:51:59,istio-tenant-gateway,22,49
2025-03-11 10:52:04,nginx,90,811
2025-03-11 10:52:04,istio-system,13,114
2025-03-11 10:52:04,istio-tenant-gateway,22,49
2025-03-11 10:52:09,nginx,90,811
2025-03-11 10:52:09,istio-system,12,114
2025-03-11 10:52:09,istio-tenant-gateway,22,44
2025-03-11 10:52:14,nginx,90,811
2025-03-11 10:52:14,istio-system,12,114
2025-03-11 10:52:14,istio-tenant-gateway,22,44
2025-03-11 10:52:19,nginx,90,811
2025-03-11 10:52:19,istio-system,12,114
2025-03-11 10:52:19,istio-tenant-gateway,22,44
2025-03-11 10:52:24,nginx,90,811
2025-03-11 10:52:24,istio-system,12,114
2025-03-11 10:52:24,istio-tenant-gateway,21,44
2025-03-11 10:52:29,nginx,90,811
2025-03-11 10:52:29,istio-system,12,114
2025-03-11 10:52:29,istio-tenant-gateway,21,44
2025-03-11 10:52:35,nginx,90,811
2025-03-11 10:52:35,istio-system,12,114
2025-03-11 10:52:35,istio-tenant-gateway,21,44
2025-03-11 10:52:40,nginx,90,811
2025-03-11 10:52:40,istio-system,11,114
2025-03-11 10:52:40,istio-tenant-gateway,20,44
2025-03-11 10:52:45,nginx,90,811
2025-03-11 10:52:45,istio-system,11,114
2025-03-11 10:52:45,istio-tenant-gateway,20,44
2025-03-11 10:52:50,nginx,90,811
2025-03-11 10:52:50,istio-system,11,114
2025-03-11 10:52:50,istio-tenant-gateway,20,44
2025-03-11 10:52:55,nginx,90,811
2025-03-11 10:52:55,istio-system,11,114
2025-03-11 10:52:55,istio-tenant-gateway,20,44
2025-03-11 10:53:00,nginx,90,811
2025-03-11 10:53:00,istio-system,11,114
2025-03-11 10:53:00,istio-tenant-gateway,20,44
2025-03-11 10:53:06,nginx,90,811
2025-03-11 10:53:06,istio-system,13,88
2025-03-11 10:53:06,istio-tenant-gateway,21,44
2025-03-11 10:53:11,nginx,90,811
2025-03-11 10:53:11,istio-system,13,88
2025-03-11 10:53:11,istio-tenant-gateway,21,44
2025-03-11 10:53:16,nginx,90,811
2025-03-11 10:53:16,istio-system,13,88
2025-03-11 10:53:16,istio-tenant-gateway,21,44
2025-03-11 10:53:21,nginx,92,811
2025-03-11 10:53:21,istio-system,12,88
2025-03-11 10:53:21,istio-tenant-gateway,21,44
2025-03-11 10:53:26,nginx,92,811
2025-03-11 10:53:26,istio-system,12,88
2025-03-11 10:53:26,istio-tenant-gateway,21,44
2025-03-11 10:53:31,nginx,92,811
2025-03-11 10:53:31,istio-system,12,88
2025-03-11 10:53:31,istio-tenant-gateway,21,44
2025-03-11 10:53:36,nginx,90,811
2025-03-11 10:53:36,istio-system,11,88
2025-03-11 10:53:36,istio-tenant-gateway,21,44
2025-03-11 10:53:41,nginx,90,811
2025-03-11 10:53:41,istio-system,11,88
2025-03-11 10:53:41,istio-tenant-gateway,21,44
2025-03-11 10:53:47,nginx,90,811
2025-03-11 10:53:47,istio-system,11,88
2025-03-11 10:53:47,istio-tenant-gateway,21,44
2025-03-11 10:53:52,nginx,90,811
2025-03-11 10:53:52,istio-system,11,88
2025-03-11 10:53:52,istio-tenant-gateway,22,42
2025-03-11 10:53:57,nginx,90,811
2025-03-11 10:53:57,istio-system,11,88
2025-03-11 10:53:57,istio-tenant-gateway,22,42
2025-03-11 10:54:02,nginx,90,811
2025-03-11 10:54:02,istio-system,11,88
2025-03-11 10:54:02,istio-tenant-gateway,22,42
2025-03-11 10:54:07,nginx,90,811
2025-03-11 10:54:07,istio-system,12,88
2025-03-11 10:54:07,istio-tenant-gateway,22,42
