Timestamp, Namespace, Total CPU(mCPU), Total Memory(MiB)
2025-03-10 20:51:23,nginx,50,451
2025-03-10 20:51:23,istio-system,8,86
2025-03-10 20:51:23,istio-tenant-gateway,7,35
2025-03-10 20:51:28,nginx,50,451
2025-03-10 20:51:28,istio-system,9,83
2025-03-10 20:51:28,istio-tenant-gateway,6,35
2025-03-10 20:51:34,nginx,50,451
2025-03-10 20:51:34,istio-system,9,83
2025-03-10 20:51:34,istio-tenant-gateway,6,35
2025-03-10 20:51:39,nginx,50,451
2025-03-10 20:51:39,istio-system,9,83
2025-03-10 20:51:39,istio-tenant-gateway,6,35
2025-03-10 20:51:44,nginx,50,451
2025-03-10 20:51:44,istio-system,15,85
2025-03-10 20:51:44,istio-tenant-gateway,35,38
2025-03-10 20:51:49,nginx,50,451
2025-03-10 20:51:49,istio-system,15,85
2025-03-10 20:51:49,istio-tenant-gateway,35,38
2025-03-10 20:51:54,nginx,50,451
2025-03-10 20:51:54,istio-system,15,85
2025-03-10 20:51:54,istio-tenant-gateway,35,38
2025-03-10 20:51:59,nginx,50,451
2025-03-10 20:51:59,istio-system,16,85
2025-03-10 20:51:59,istio-tenant-gateway,38,38
2025-03-10 20:52:04,nginx,50,451
2025-03-10 20:52:04,istio-system,16,85
2025-03-10 20:52:04,istio-tenant-gateway,38,38
2025-03-10 20:52:10,nginx,50,451
2025-03-10 20:52:10,istio-system,16,85
2025-03-10 20:52:10,istio-tenant-gateway,38,38
2025-03-10 20:52:15,nginx,50,451
2025-03-10 20:52:15,istio-system,16,85
2025-03-10 20:52:15,istio-tenant-gateway,36,38
2025-03-10 20:52:20,nginx,50,451
2025-03-10 20:52:20,istio-system,16,85
2025-03-10 20:52:20,istio-tenant-gateway,36,38
2025-03-10 20:52:25,nginx,50,451
2025-03-10 20:52:25,istio-system,16,85
2025-03-10 20:52:25,istio-tenant-gateway,36,38
2025-03-10 20:52:30,nginx,50,451
2025-03-10 20:52:30,istio-system,16,85
2025-03-10 20:52:30,istio-tenant-gateway,35,38
2025-03-10 20:52:35,nginx,50,451
2025-03-10 20:52:35,istio-system,16,85
2025-03-10 20:52:35,istio-tenant-gateway,35,38
2025-03-10 20:52:40,nginx,50,451
2025-03-10 20:52:40,istio-system,16,85
2025-03-10 20:52:40,istio-tenant-gateway,35,38
2025-03-10 20:52:45,nginx,50,451
2025-03-10 20:52:45,istio-system,16,85
2025-03-10 20:52:45,istio-tenant-gateway,35,38
2025-03-10 20:52:51,nginx,50,451
2025-03-10 20:52:51,istio-system,16,85
2025-03-10 20:52:51,istio-tenant-gateway,35,38
2025-03-10 20:52:56,nginx,50,451
2025-03-10 20:52:56,istio-system,16,85
2025-03-10 20:52:56,istio-tenant-gateway,36,38
2025-03-10 20:53:01,nginx,50,451
2025-03-10 20:53:01,istio-system,16,85
2025-03-10 20:53:01,istio-tenant-gateway,36,38
2025-03-10 20:53:06,nginx,50,451
2025-03-10 20:53:06,istio-system,16,85
2025-03-10 20:53:06,istio-tenant-gateway,36,38
2025-03-10 20:53:11,nginx,50,451
2025-03-10 20:53:11,istio-system,18,85
2025-03-10 20:53:11,istio-tenant-gateway,40,38
2025-03-10 20:53:16,nginx,50,451
2025-03-10 20:53:16,istio-system,18,85
2025-03-10 20:53:16,istio-tenant-gateway,40,38
2025-03-10 20:53:21,nginx,50,451
2025-03-10 20:53:21,istio-system,18,85
2025-03-10 20:53:21,istio-tenant-gateway,40,38
2025-03-10 20:53:27,nginx,50,451
2025-03-10 20:53:27,istio-system,18,85
2025-03-10 20:53:27,istio-tenant-gateway,39,38
2025-03-10 20:53:32,nginx,50,451
2025-03-10 20:53:32,istio-system,18,85
2025-03-10 20:53:32,istio-tenant-gateway,39,38
2025-03-10 20:53:37,nginx,50,451
2025-03-10 20:53:37,istio-system,18,85
2025-03-10 20:53:37,istio-tenant-gateway,39,38
2025-03-10 20:53:42,nginx,50,451
2025-03-10 20:53:42,istio-system,17,85
2025-03-10 20:53:42,istio-tenant-gateway,42,38
2025-03-10 20:53:47,nginx,50,451
2025-03-10 20:53:47,istio-system,17,85
2025-03-10 20:53:47,istio-tenant-gateway,42,38
2025-03-10 20:53:52,nginx,50,451
2025-03-10 20:53:52,istio-system,17,85
2025-03-10 20:53:52,istio-tenant-gateway,42,38
2025-03-10 20:53:57,nginx,50,451
2025-03-10 20:53:57,istio-system,17,85
2025-03-10 20:53:57,istio-tenant-gateway,41,38
2025-03-10 20:54:03,nginx,50,451
2025-03-10 20:54:03,istio-system,17,85
2025-03-10 20:54:03,istio-tenant-gateway,41,38
2025-03-10 20:54:08,nginx,50,451
2025-03-10 20:54:08,istio-system,17,85
2025-03-10 20:54:08,istio-tenant-gateway,41,38
2025-03-10 20:54:13,nginx,50,451
2025-03-10 20:54:13,istio-system,18,85
2025-03-10 20:54:13,istio-tenant-gateway,41,38
2025-03-10 20:54:18,nginx,50,451
2025-03-10 20:54:18,istio-system,18,85
2025-03-10 20:54:18,istio-tenant-gateway,41,38
2025-03-10 20:54:23,nginx,50,451
2025-03-10 20:54:23,istio-system,18,85
2025-03-10 20:54:23,istio-tenant-gateway,41,38
2025-03-10 20:54:28,nginx,50,451
2025-03-10 20:54:28,istio-system,18,85
2025-03-10 20:54:28,istio-tenant-gateway,42,38
2025-03-10 20:54:33,nginx,50,451
2025-03-10 20:54:33,istio-system,18,85
2025-03-10 20:54:33,istio-tenant-gateway,42,38
2025-03-10 20:54:38,nginx,50,451
2025-03-10 20:54:38,istio-system,18,85
2025-03-10 20:54:38,istio-tenant-gateway,42,38
2025-03-10 20:54:44,nginx,50,451
