Timestamp, Namespace, Total CPU(mCPU), Total Memory(MiB)
2025-03-12 14:22:24,nginx,1,21
2025-03-12 14:22:24,linkerd,3,175
2025-03-12 14:22:29,nginx,1,21
2025-03-12 14:22:29,linkerd,3,175
2025-03-12 14:22:34,nginx,1,21
2025-03-12 14:22:34,linkerd,3,175
2025-03-12 14:22:39,nginx,1,21
2025-03-12 14:22:39,linkerd,3,175
2025-03-12 14:22:45,nginx,1,21
2025-03-12 14:22:45,linkerd,3,175
2025-03-12 14:22:50,nginx,1,21
2025-03-12 14:22:50,linkerd,3,175
2025-03-12 14:22:55,nginx,1,21
2025-03-12 14:22:55,linkerd,3,175
2025-03-12 14:23:00,nginx,1,21
2025-03-12 14:23:00,linkerd,3,175
2025-03-12 14:23:05,nginx,1,21
2025-03-12 14:23:05,linkerd,3,175
2025-03-12 14:23:10,nginx,1,21
2025-03-12 14:23:10,linkerd,3,175
2025-03-12 14:23:15,nginx,1,21
2025-03-12 14:23:15,linkerd,3,175
2025-03-12 14:23:20,nginx,1,21
2025-03-12 14:23:20,linkerd,3,175
2025-03-12 14:23:25,nginx,1,21
2025-03-12 14:23:25,linkerd,3,175
2025-03-12 14:23:31,nginx,10,21
2025-03-12 14:23:31,linkerd,3,175
2025-03-12 14:23:36,nginx,10,21
2025-03-12 14:23:36,linkerd,3,175
2025-03-12 14:23:41,nginx,10,21
2025-03-12 14:23:41,linkerd,3,175
2025-03-12 14:23:46,nginx,10,21
2025-03-12 14:23:46,linkerd,3,175
2025-03-12 14:23:51,nginx,10,21
2025-03-12 14:23:51,linkerd,3,175
2025-03-12 14:23:56,nginx,10,21
2025-03-12 14:23:56,linkerd,3,175
2025-03-12 14:24:01,nginx,10,21
2025-03-12 14:24:01,linkerd,3,175
2025-03-12 14:24:06,nginx,10,21
2025-03-12 14:24:06,linkerd,3,175
2025-03-12 14:24:11,nginx,10,21
2025-03-12 14:24:11,linkerd,3,175
2025-03-12 14:24:16,nginx,10,21
2025-03-12 14:24:16,linkerd,3,175
2025-03-12 14:24:22,nginx,10,21
2025-03-12 14:24:22,linkerd,3,175
2025-03-12 14:24:27,nginx,10,21
2025-03-12 14:24:27,linkerd,3,175
2025-03-12 14:24:32,nginx,10,22
2025-03-12 14:24:32,linkerd,3,175
2025-03-12 14:24:37,nginx,10,22
2025-03-12 14:24:37,linkerd,3,175
2025-03-12 14:24:42,nginx,10,22
2025-03-12 14:24:42,linkerd,3,175
2025-03-12 14:24:47,nginx,10,22
2025-03-12 14:24:47,linkerd,3,175
2025-03-12 14:24:52,nginx,10,22
2025-03-12 14:24:52,linkerd,3,175
2025-03-12 14:24:57,nginx,10,22
2025-03-12 14:24:57,linkerd,3,175
2025-03-12 14:25:02,nginx,10,22
2025-03-12 14:25:02,linkerd,3,175
2025-03-12 14:25:07,nginx,10,22
2025-03-12 14:25:07,linkerd,3,175
2025-03-12 14:25:13,nginx,10,22
2025-03-12 14:25:13,linkerd,3,175
2025-03-12 14:25:18,nginx,10,22
2025-03-12 14:25:18,linkerd,3,175
2025-03-12 14:25:23,nginx,10,22
2025-03-12 14:25:23,linkerd,3,175
2025-03-12 14:25:28,nginx,10,22
2025-03-12 14:25:28,linkerd,3,175
2025-03-12 14:25:33,nginx,11,21
2025-03-12 14:25:33,linkerd,3,175
2025-03-12 14:25:38,nginx,11,21
2025-03-12 14:25:38,linkerd,3,175
2025-03-12 14:25:43,nginx,11,21
2025-03-12 14:25:43,linkerd,3,175
2025-03-12 14:25:48,nginx,11,21
2025-03-12 14:25:48,linkerd,3,175
2025-03-12 14:25:53,nginx,11,21
2025-03-12 14:25:53,linkerd,3,175
2025-03-12 14:25:59,nginx,11,21
2025-03-12 14:25:59,linkerd,3,175
2025-03-12 14:26:04,nginx,11,21
2025-03-12 14:26:04,linkerd,3,175
2025-03-12 14:26:09,nginx,11,21
2025-03-12 14:26:09,linkerd,3,175
2025-03-12 14:26:14,nginx,11,21
2025-03-12 14:26:14,linkerd,3,175
2025-03-12 14:26:19,nginx,11,21
2025-03-12 14:26:19,linkerd,3,175
2025-03-12 14:26:24,nginx,11,21
2025-03-12 14:26:24,linkerd,3,175
2025-03-12 14:26:29,nginx,10,21
2025-03-12 14:26:29,linkerd,3,175
2025-03-12 14:26:34,nginx,10,21
2025-03-12 14:26:34,linkerd,3,175
2025-03-12 14:26:39,nginx,10,21
2025-03-12 14:26:39,linkerd,3,175
2025-03-12 14:26:44,nginx,10,21
2025-03-12 14:26:44,linkerd,3,175
2025-03-12 14:26:50,nginx,10,21
2025-03-12 14:26:50,linkerd,3,175
2025-03-12 14:26:55,nginx,10,21
2025-03-12 14:26:55,linkerd,3,175
2025-03-12 14:27:00,nginx,10,21
2025-03-12 14:27:00,linkerd,3,175
2025-03-12 14:27:05,nginx,10,21
2025-03-12 14:27:05,linkerd,3,175
2025-03-12 14:27:10,nginx,10,21
2025-03-12 14:27:10,linkerd,3,175
2025-03-12 14:27:15,nginx,10,21
2025-03-12 14:27:15,linkerd,3,175
2025-03-12 14:27:20,nginx,10,21
2025-03-12 14:27:20,linkerd,3,175
