Timestamp, Namespace, Total CPU(mCPU), Max CPU(mCPU), Total Memory(MiB), Max Memory(MiB)
2025-03-10 14:12:15,nginx,13,13m,46,46Mi
2025-03-10 14:12:15,istio-system,3,3m,48,48Mi
2025-03-10 14:12:15,istio-tenant-gateway,4,4m,32,32Mi
2025-03-10 14:12:20,nginx,13,13m,46,46Mi
2025-03-10 14:12:20,istio-system,3,3m,48,48Mi
2025-03-10 14:12:20,istio-tenant-gateway,4,4m,32,32Mi
2025-03-10 14:12:25,nginx,13,13m,46,46Mi
2025-03-10 14:12:25,istio-system,3,3m,48,48Mi
2025-03-10 14:12:25,istio-tenant-gateway,4,4m,32,32Mi
2025-03-10 14:12:30,nginx,18,18m,46,46Mi
2025-03-10 14:12:30,istio-system,2,2m,48,48Mi
2025-03-10 14:12:30,istio-tenant-gateway,19,19m,32,32Mi
2025-03-10 14:12:35,nginx,18,18m,46,46Mi
2025-03-10 14:12:35,istio-system,2,2m,48,48Mi
2025-03-10 14:12:35,istio-tenant-gateway,19,19m,32,32Mi
2025-03-10 14:12:41,nginx,18,18m,46,46Mi
2025-03-10 14:12:41,istio-system,2,2m,48,48Mi
2025-03-10 14:12:41,istio-tenant-gateway,19,19m,32,32Mi
2025-03-10 14:12:46,nginx,25,25m,46,46Mi
2025-03-10 14:12:46,istio-system,2,2m,48,48Mi
2025-03-10 14:12:46,istio-tenant-gateway,30,30m,32,32Mi
2025-03-10 14:12:51,nginx,25,25m,46,46Mi
2025-03-10 14:12:51,istio-system,2,2m,48,48Mi
2025-03-10 14:12:51,istio-tenant-gateway,30,30m,32,32Mi
2025-03-10 14:12:56,nginx,25,25m,46,46Mi
2025-03-10 14:12:56,istio-system,2,2m,48,48Mi
2025-03-10 14:12:56,istio-tenant-gateway,30,30m,32,32Mi
2025-03-10 14:13:01,nginx,37,37m,46,46Mi
2025-03-10 14:13:01,istio-system,2,2m,48,48Mi
2025-03-10 14:13:01,istio-tenant-gateway,31,31m,32,32Mi
2025-03-10 14:13:06,nginx,37,37m,46,46Mi
2025-03-10 14:13:06,istio-system,2,2m,48,48Mi
2025-03-10 14:13:06,istio-tenant-gateway,31,31m,32,32Mi
2025-03-10 14:13:11,nginx,37,37m,46,46Mi
2025-03-10 14:13:11,istio-system,2,2m,48,48Mi
2025-03-10 14:13:11,istio-tenant-gateway,31,31m,32,32Mi
2025-03-10 14:13:16,nginx,41,41m,46,46Mi
2025-03-10 14:13:16,istio-system,2,2m,48,48Mi
2025-03-10 14:13:16,istio-tenant-gateway,32,32m,32,32Mi
2025-03-10 14:13:22,nginx,41,41m,46,46Mi
2025-03-10 14:13:22,istio-system,2,2m,48,48Mi
2025-03-10 14:13:22,istio-tenant-gateway,32,32m,32,32Mi
2025-03-10 14:13:27,nginx,38,38m,46,46Mi
2025-03-10 14:13:27,istio-system,2,2m,48,48Mi
2025-03-10 14:13:27,istio-tenant-gateway,32,32m,32,32Mi
2025-03-10 14:13:32,nginx,38,38m,46,46Mi
2025-03-10 14:13:32,istio-system,2,2m,48,48Mi
2025-03-10 14:13:32,istio-tenant-gateway,32,32m,32,32Mi
2025-03-10 14:13:37,nginx,38,38m,46,46Mi
2025-03-10 14:13:37,istio-system,2,2m,48,48Mi
2025-03-10 14:13:37,istio-tenant-gateway,32,32m,32,32Mi
2025-03-10 14:13:42,nginx,39,39m,46,46Mi
2025-03-10 14:13:42,istio-system,3,3m,48,48Mi
2025-03-10 14:13:42,istio-tenant-gateway,33,33m,32,32Mi
2025-03-10 14:13:47,nginx,39,39m,46,46Mi
2025-03-10 14:13:47,istio-system,3,3m,48,48Mi
2025-03-10 14:13:47,istio-tenant-gateway,33,33m,32,32Mi
2025-03-10 14:13:52,nginx,39,39m,46,46Mi
2025-03-10 14:13:52,istio-system,3,3m,48,48Mi
2025-03-10 14:13:52,istio-tenant-gateway,33,33m,32,32Mi
2025-03-10 14:13:58,nginx,40,40m,46,46Mi
2025-03-10 14:13:58,istio-system,2,2m,48,48Mi
2025-03-10 14:13:58,istio-tenant-gateway,33,33m,32,32Mi
2025-03-10 14:14:03,nginx,40,40m,46,46Mi
2025-03-10 14:14:03,istio-system,2,2m,48,48Mi
2025-03-10 14:14:03,istio-tenant-gateway,33,33m,32,32Mi
2025-03-10 14:14:08,nginx,40,40m,46,46Mi
2025-03-10 14:14:08,istio-system,2,2m,48,48Mi
2025-03-10 14:14:08,istio-tenant-gateway,33,33m,32,32Mi
2025-03-10 14:14:13,nginx,40,40m,46,46Mi
2025-03-10 14:14:13,istio-system,2,2m,48,48Mi
2025-03-10 14:14:13,istio-tenant-gateway,33,33m,32,32Mi
